Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum
insubordination,3.47,1.54,19,6.29,2.03,21
insufferable,3.85,1.27,20,3.65,2.18,20
insufficient,3.24,1.95,21,3.57,1.75,23
insulation,5.37,1.07,19,3.71,2.22,21
insulin,4.52,1.91,21,4.92,2.45,25
insult,2.62,1.33,40,5.3,2.72,44
insulting,1.89,0.94,19,4.7,3.01,20
insurance,3.76,2.51,21,3.8,2.59,20
insure,5.67,1.46,21,3.76,1.95,21
intact,6.0,1.38,20,3.18,1.94,22
intake,5.53,1.84,19,4.0,2.27,20
intangible,5.7,1.53,20,3.19,2.23,21
integral,5.19,2.04,21,3.65,2.42,23
integrate,5.78,1.63,18,3.37,2.39,19
integration,5.29,1.98,21,4.38,2.36,21
integrity,6.11,2.62,19,3.36,2.34,22
intellect,6.62,2.09,21,4.41,2.36,39
intellectual,7.65,1.69,20,4.53,2.2,19
intelligence,7.65,1.09,20,6.32,2.36,19
intelligent,7.6,1.35,20,5.67,3.03,18
intend,5.75,1.41,20,3.39,1.99,23
intense,5.65,1.84,20,6.6,1.93,20
intensity,5.19,1.94,21,7.05,1.58,19
intensive,4.25,1.68,20,4.38,2.98,24
intent,5.86,1.39,22,4.32,2.36,19
intention,5.58,1.68,19,3.91,1.74,22
intentional,5.37,1.34,19,3.89,2.18,19
interact,6.0,1.41,20,3.78,2.07,23
interaction,5.62,2.27,21,4.35,2.48,23
interactive,5.89,1.41,19,4.28,2.59,18
intercede,5.24,1.51,21,4.04,1.87,23
intercept,4.64,1.65,22,4.59,2.42,22
interception,5.41,1.1,22,4.23,2.67,22
interchangeable,5.37,1.83,19,3.77,2.41,22
intercom,5.26,1.82,19,2.86,1.61,22
intercourse,7.22,1.82,41,6.5,2.6,22
interest,6.66,1.37,41,4.36,2.73,44
interested,6.83,2.12,18,4.45,2.78,20
interesting,6.78,2.07,18,5.1,2.55,21
interface,5.32,2.16,19,3.35,2.06,20
interfere,3.94,1.86,18,4.33,2.78,21
interference,4.71,1.23,21,3.84,2.44,25
intergalactic,6.32,2.33,19,5.91,2.09,23
interim,4.68,1.64,22,3.68,2.21,22
interior,5.79,1.81,19,3.86,1.98,22
interject,4.29,1.65,21,3.52,2.35,23
interlude,5.47,1.39,19,3.96,2.23,23
intermediate,5.05,1.03,19,3.28,1.9,18
intermission,5.2,1.85,20,5.0,2.21,19
intermittent,4.65,1.57,20,3.6,2.7,20
intern,5.14,1.49,22,3.62,1.99,21
internal,5.18,1.22,22,3.67,2.22,21
international,5.65,1.95,20,3.95,2.48,22
internet,6.68,1.53,19,5.44,2.73,18
internship,5.9,2.0,21,6.25,2.55,20
interoffice,4.32,1.49,19,3.67,2.38,18
interpret,5.2,2.02,20,4.43,1.93,23
interpretation,5.6,1.19,20,4.21,2.17,24
interpreter,5.8,1.4,20,3.14,1.96,21
interpretive,5.16,1.89,19,2.9,1.83,20
interrogate,2.76,1.58,21,4.8,2.91,20
interrogation,2.21,1.32,19,5.41,2.4,22
interrupt,3.26,1.41,19,4.36,2.72,22
interruption,3.81,1.12,21,3.88,2.3,26
intersection,4.58,2.04,19,4.45,2.04,22
interstate,5.0,2.05,19,4.38,2.13,21
interstellar,5.95,1.51,19,4.95,2.74,20
interval,5.05,1.58,19,3.43,2.31,21
intervene,5.21,1.4,19,4.48,2.48,23
intervention,4.14,2.01,21,4.74,2.3,23
interview,4.68,2.01,22,6.35,2.48,20
interviewer,5.0,1.53,19,4.52,2.38,21
intestinal,3.3,1.49,20,3.82,1.92,22
intestine,3.37,1.8,19,4.5,2.44,20
intimacy,7.0,1.81,20,6.0,2.66,20
intimate,7.22,1.67,41,6.02,2.64,43
intimidate,2.84,1.3,19,5.27,2.53,22
intimidating,3.0,0.84,21,4.33,2.76,24
intimidation,3.79,2.39,19,4.67,2.61,21
intolerable,3.14,1.31,21,5.41,2.4,22
intolerance,2.95,1.27,19,5.35,2.03,20
intolerant,3.43,1.69,21,4.05,2.48,22
intoxicating,5.58,2.39,19,5.81,2.66,21
intracranial,4.62,1.88,21,4.45,2.63,20
intravenous,4.29,1.93,21,4.09,2.16,22
intrepid,5.37,1.67,19,3.95,2.57,19
intricate,5.11,2.05,18,4.48,2.23,21
intrigue,6.05,1.81,19,5.18,2.24,22
intriguing,6.53,1.68,19,5.44,2.01,18
intro,5.15,1.95,20,4.48,2.15,23
introduce,5.91,1.8,22,4.55,2.39,20
introduction,5.81,1.4,21,3.9,2.77,20
intrude,3.1,1.61,21,5.2,1.99,20
intruder,2.46,1.83,41,5.66,2.64,44
intrusion,3.37,1.71,19,4.9,2.57,20
intrusive,3.05,1.76,22,5.77,1.93,22
intubation,4.1,1.62,20,4.04,2.46,23
intuition,6.42,1.54,19,4.81,2.27,21
intuitive,6.0,1.11,19,4.28,1.96,18
invade,3.32,1.7,19,6.0,2.45,20
invader,2.23,1.53,866,5.67,2.83,18
invalid,3.52,1.6,21,3.7,2.91,23
invaluable,5.6,2.28,20,5.21,2.23,24
invasion,2.45,1.87,22,6.59,1.91,17
invasive,3.1,1.74,20,6.28,2.19,18
invent,6.64,1.71,22,6.16,2.57,19
invention,6.4,1.5,20,4.24,2.83,21
inventive,6.29,1.95,21,4.22,2.63,23
inventor,6.21,1.44,19,4.62,2.5,21
inventory,4.95,1.65,19,3.58,2.04,19
inverted,4.91,1.51,22,3.85,2.26,26
invest,6.16,1.72,38,3.95,1.99,20
investigate,5.68,1.86,19,4.09,2.33,23
investigation,4.36,2.3,22,5.7,2.79,20
investigative,5.5,1.91,20,5.8,2.28,20
investigator,4.95,1.58,19,4.35,2.25,20
investment,5.14,1.98,21,4.73,2.12,22
investor,5.42,1.22,19,3.39,2.09,18
invincible,6.32,1.63,19,5.3,2.34,20
invisibility,5.32,1.59,22,4.32,2.77,22
invisible,5.0,1.63,19,3.95,2.31,21
invitation,7.05,1.23,20,4.94,2.13,18
invite,5.68,1.89,22,5.1,2.4,20
invoice,4.6,1.43,20,3.68,2.64,22
invoke,5.05,2.15,19,4.85,1.95,20
involuntary,4.05,0.97,19,3.75,2.0,20
involve,5.44,1.85,18,3.6,2.21,20
involvement,5.81,1.4,21,2.95,2.27,21
invulnerable,6.05,2.01,21,3.85,2.46,20
iodine,4.9,1.58,21,4.21,2.11,24
ion,5.1,1.12,20,4.19,2.25,21
iota,5.16,1.34,19,2.76,2.0,21
irate,2.9,1.62,20,4.71,2.74,21
iris,6.85,1.6,20,4.2,2.55,20
iron,5.03,1.47,101,3.24,2.18,106
ironclad,5.14,1.62,21,3.77,2.11,22
ironic,5.42,1.44,24,4.39,2.1,23
irony,5.19,1.99,21,4.09,2.37,23
irrational,3.5,1.91,20,5.12,2.64,17
irregular,4.05,1.79,20,4.86,2.55,22
irregularity,4.26,1.52,19,3.94,2.39,18
irrelevant,3.35,1.63,20,3.71,2.28,17
irreparable,4.05,2.1,22,5.05,2.72,22
irreplaceable,5.59,2.34,22,4.62,2.6,21
irresistible,6.58,1.5,19,5.71,2.51,21
irresponsible,2.5,1.4,20,5.0,2.57,18
irreversible,3.61,2.15,18,4.09,2.33,22
irrigate,5.23,1.9,22,3.77,2.18,22
irrigation,3.82,1.65,22,4.65,2.15,26
irritable,2.85,0.93,20,6.37,2.27,19
irritate,3.19,1.69,42,5.85,2.23,39
irritating,2.63,1.42,19,4.91,2.45,22
irritation,3.38,1.47,21,5.5,2.91,22
island,7.18,2.06,22,4.25,2.95,20
isle,6.05,2.07,19,3.24,2.12,21
isolate,4.35,1.84,20,4.6,2.76,20
isolation,3.77,2.07,22,3.0,2.29,19
isotope,5.35,1.87,20,2.73,1.67,22
issue,3.95,2.06,22,4.55,2.52,20
itch,3.11,1.49,19,5.0,2.59,21
itchy,2.53,1.43,19,4.9,2.26,21
item,5.29,1.72,41,2.9,2.0,21
itinerary,6.1,1.25,20,3.27,2.05,22
ivory,5.2,2.07,20,2.33,1.61,18
jab,3.81,1.86,21,4.85,2.49,26
jabber,4.38,1.24,21,3.78,1.95,23
Jack Daniels,5.38,2.58,21,4.78,2.98,23
jackal,4.65,1.6,20,4.58,2.36,24
jackass,4.05,2.07,19,6.57,2.38,21
jacket,5.86,1.65,21,3.35,2.16,20
jackhammer,3.9,1.55,20,4.7,2.44,23
jackpot,7.1,1.92,21,5.62,3.19,24
jackrabbit,5.95,1.75,19,3.61,2.35,18
jade,6.25,1.94,20,3.43,1.75,21
jaded,3.62,1.53,21,3.79,2.93,24
jagged,3.95,1.75,21,6.05,2.11,20
jaguar,5.63,2.19,19,5.55,2.21,20
jail,1.91,1.44,870,4.47,2.5,38
jailbird,2.38,1.4,21,4.48,2.22,25
jailbreak,3.5,1.73,20,5.6,2.3,20
jailer,2.61,1.72,18,4.95,2.85,22
jailhouse,2.57,1.41,23,4.5,2.77,22
jalopy,5.15,2.03,20,3.94,2.62,18
jam,5.81,2.62,21,3.95,2.44,21
jamboree,6.14,1.61,22,5.28,2.51,25
jammer,5.19,1.29,21,4.22,2.37,23
janitor,4.86,1.75,22,2.3,1.56,20
janitorial,4.87,1.91,23,3.86,2.08,21
jar,5.71,1.82,21,2.77,1.88,22
jargon,4.85,1.14,20,3.95,1.99,21
jarhead,4.16,2.61,19,4.41,2.99,22
jasmine,6.74,1.19,19,3.7,1.98,20
java,5.9,2.25,20,5.05,2.3,22
javelin,5.24,1.58,21,3.89,2.51,19
jaw,4.41,1.01,22,4.09,2.35,23
jawbone,4.63,1.16,19,4.19,1.72,21
jaws,4.42,1.61,19,5.91,3.24,22
jazz,6.57,1.86,21,6.05,2.76,19
jazzy,6.81,1.54,21,4.74,2.42,23
jealous,2.38,1.43,21,5.9,2.07,20
jealousy,2.58,1.37,106,5.45,2.47,84
jean,6.05,1.66,21,2.41,1.71,22
jeans,5.47,1.71,19,3.95,1.9,20
jeep,5.53,1.68,19,4.05,2.58,21
jeering,2.52,1.54,21,5.57,2.04,21
jelly,5.9,1.52,20,3.63,1.96,41
jellybean,6.4,1.98,20,4.77,2.11,22
jellyfish,4.9,2.36,21,3.73,2.19,22
jeopardize,3.1,1.37,20,6.15,2.3,20
jeopardy,3.84,1.86,19,4.23,2.86,22
jerk,2.43,1.57,21,6.45,2.01,20
jerky,4.74,1.79,19,4.0,2.89,22
jest,6.2,1.47,20,4.21,2.59,24
jester,4.53,2.44,19,4.75,2.38,20
jet,6.74,1.59,19,5.26,2.2,23
jewel,6.68,1.63,19,3.83,2.57,23
jeweler,5.95,2.31,21,3.73,2.47,22
jewelry,7.0,1.75,22,3.38,2.2,21
jib,5.53,1.26,19,4.57,1.86,21
jiff,5.21,1.4,19,4.17,2.21,23
jiffy,6.09,1.63,22,4.89,2.47,19
jig,4.95,1.88,21,4.95,2.5,20
jiggle,6.15,1.9,20,5.22,2.73,18
jigsaw,5.05,1.57,20,4.0,2.67,22
jihad,2.32,1.53,19,5.35,2.87,20
jingle,5.16,1.5,19,4.33,2.25,18
jinx,3.59,1.82,22,4.95,2.48,22
jittery,3.35,1.66,20,4.89,2.65,18
jive,6.32,1.36,22,5.68,2.19,19
job,5.64,1.81,22,4.0,2.34,20
jockey,4.95,1.46,22,4.84,2.79,19
jockstrap,3.5,1.99,20,4.33,2.77,18
jog,5.81,1.36,21,3.43,1.95,23
jogger,5.11,1.63,19,3.5,2.33,18
join,5.83,2.07,18,3.9,2.7,21
joint,5.32,2.15,22,4.5,2.63,20
joke,7.88,1.44,869,5.73,2.37,22
joker,5.67,2.01,21,4.21,2.93,24
jolly,7.47,1.12,43,5.95,2.44,20
jolt,4.43,1.72,21,6.63,1.98,19
jot,4.79,1.84,19,4.0,2.49,21
jour,5.74,1.45,19,2.95,2.21,20
journal,5.91,1.77,81,3.23,2.23,107
journalism,4.95,1.73,20,4.22,2.51,18
journalist,5.3,1.42,20,3.86,2.36,22
journalistic,5.55,1.39,20,3.2,1.91,20
journey,6.65,1.84,20,4.89,2.63,18
joust,4.9,1.68,20,5.61,2.04,23
joy,8.21,1.18,19,5.55,2.85,49
joyful,8.21,0.98,39,5.53,2.88,43
joyous,7.45,1.82,22,6.62,2.11,21
joyride,6.1,1.64,21,3.71,2.53,21
jubilee,7.05,1.67,20,5.2,2.78,20
judge,3.89,2.11,18,4.5,2.74,20
judgment,4.65,1.84,20,4.27,2.45,22
judgmental,3.0,1.41,19,5.05,1.72,21
judicial,4.0,1.49,19,4.59,2.2,22
judo,5.79,1.99,19,4.5,2.54,20
jug,5.45,1.88,40,3.73,2.12,41
juggle,5.84,1.21,19,5.14,2.33,21
juggler,6.3,2.05,20,4.05,2.56,20
jugular,5.2,1.91,20,4.56,2.77,25
juice,6.9,1.61,21,4.6,2.74,20
juicer,5.84,1.64,19,4.44,2.41,18
juicy,7.05,1.54,20,4.7,2.58,20
juju,4.73,1.16,22,4.12,2.44,26
juke,5.0,1.78,18,3.3,2.18,20
jukebox,6.76,2.1,21,4.9,2.22,20
jumbo,4.9,1.71,20,4.24,2.28,21
jump,6.44,1.69,18,5.14,2.43,21
jump rope,5.74,2.05,19,4.7,2.89,20
jumper,4.55,2.16,20,3.76,2.11,17
jumpsuit,5.1,0.94,21,3.62,2.13,21
jumpy,4.8,1.74,20,5.45,2.2,22
junction,5.21,1.08,19,3.86,2.13,21
juncture,5.25,0.97,20,4.08,2.38,25
jungle,5.7,2.18,20,4.06,2.58,18
junior,5.36,1.68,22,4.15,2.18,20
juniper,6.33,1.57,18,3.27,2.1,22
junk,3.57,1.89,21,3.95,2.26,20
junket,4.22,1.44,18,3.5,2.19,20
junkie,2.5,1.43,20,4.62,3.02,24
junky,3.05,1.58,19,4.3,2.7,20
junkyard,4.05,1.79,22,3.95,2.2,21
jurisdiction,4.68,2.0,19,3.95,2.35,20
juror,4.65,1.79,20,4.5,2.38,18
jury,4.23,1.63,22,5.2,2.48,20
justice,6.8,1.54,41,5.4,2.37,42
justifiable,6.1,1.41,21,3.58,2.17,24
justification,5.68,2.11,19,4.09,2.02,22
justify,6.17,1.69,18,3.2,2.24,20
juvenile,3.74,1.91,19,3.85,2.25,20
kale,5.79,2.2,19,3.29,2.27,24
kamikaze,3.58,2.22,19,4.68,2.9,22
kangaroo,6.45,1.28,20,4.27,2.69,22
kappa,5.65,1.31,20,2.79,1.93,19
kaput,3.95,1.77,21,4.45,1.99,20
karaoke,6.29,2.19,21,5.0,2.83,22
karate,6.26,1.33,19,4.6,2.5,20
karma,6.28,1.23,18,4.18,2.24,17
karmic,5.63,1.67,19,4.22,2.1,18
kayak,5.68,2.26,19,3.77,2.81,22
kazoo,5.76,2.21,21,5.05,2.72,20
kebab,5.95,1.88,21,3.65,2.25,20
keel,4.64,1.53,22,4.15,2.07,26
keen,6.72,1.36,18,3.21,1.99,19
keep,6.32,1.86,22,3.43,2.34,21
keeper,5.89,1.37,19,3.81,1.91,21
keepsake,6.73,1.45,22,4.43,2.63,23
keg,5.65,1.6,20,4.52,2.09,23
kelp,5.0,1.38,20,3.46,2.41,24
kennel,4.64,1.81,22,3.67,2.33,21
kerchief,5.31,1.22,42,2.95,1.84,38
kernel,5.23,1.72,22,3.87,2.3,23
kerosene,3.86,1.88,22,4.0,2.19,21
ketchup,6.03,2.18,40,3.85,2.78,20
kettle,5.67,1.54,43,3.1,1.76,21
key,6.22,1.46,45,3.9,2.07,21
keyboard,5.17,2.12,18,3.59,2.15,22
keyhole,5.39,1.14,18,3.96,2.36,23
keynote,5.67,1.46,21,3.1,1.58,21
keypad,5.65,1.6,20,3.0,2.05,20
keyword,5.6,1.27,20,3.67,1.97,18
khaki,5.05,1.32,20,2.64,2.01,22
kibble,5.5,1.85,20,3.7,2.13,20
kick,4.55,2.19,20,5.1,2.42,42
kickboxing,5.33,2.15,21,4.45,2.69,22
kicker,5.11,0.81,19,4.85,2.3,20
kickoff,4.95,1.76,20,5.0,2.47,22
kid,7.23,2.35,22,4.71,2.67,21
kidder,6.38,1.77,21,3.25,1.97,20
kiddo,5.65,1.84,20,4.68,2.64,22
kidnap,2.19,1.29,21,5.59,2.75,22
kidnapper,1.77,1.02,22,6.52,1.81,25
kidnapping,2.05,1.57,20,5.36,2.61,22
kidney,4.9,1.89,21,3.95,2.32,19
kids,6.48,2.16,21,5.69,2.47,45
kill,1.81,1.6,21,6.81,2.54,21
killer,1.74,1.28,19,7.05,2.39,41
killing,1.95,1.53,21,5.52,3.16,25
killjoy,3.84,1.86,19,4.14,2.19,22
kilo,4.29,1.68,21,3.26,1.89,23
kilometer,5.52,1.57,21,4.1,2.75,20
kilt,5.12,2.13,24,4.74,2.47,23
kimono,5.9,1.3,21,3.77,2.27,22
kin,5.85,1.09,20,3.0,1.69,22
kind,7.78,1.12,40,3.19,2.02,21
kindergarten,6.62,1.99,21,3.09,2.35,23
kindling,5.45,1.61,20,4.05,2.42,22
kindness,7.65,1.76,102,3.96,2.65,103
kindred,6.47,1.98,19,3.23,2.07,22
kinesiology,4.9,1.83,20,3.89,2.19,18
kinetic,5.11,2.23,19,4.95,2.52,22
king,6.0,2.34,23,4.45,2.68,47
king snake,3.26,2.05,23,6.64,2.52,22
kingdom,6.74,2.13,19,4.2,2.42,20
kingpin,4.37,1.8,19,5.14,2.48,21
kink,5.29,1.79,21,4.8,2.67,20
kinky,5.71,2.17,21,5.52,2.89,23
kinship,7.53,1.39,19,4.65,2.06,23
kiosk,5.0,1.79,21,3.35,1.58,23
kiss,7.78,1.64,41,6.05,3.03,22
kisser,7.33,1.57,18,5.85,2.48,20
kissy,7.06,1.52,17,5.32,2.56,19
kit,6.1,1.21,20,3.68,2.46,22
kitchen,6.17,1.98,18,3.52,2.62,21
kite,6.9,1.45,20,4.2,2.63,20
kitten,7.58,1.72,868,3.19,2.66,21
kiwi,6.11,2.17,18,3.65,2.48,20
klutz,3.81,1.72,21,4.08,2.33,25
knack,5.68,1.86,19,3.77,2.09,22
knapsack,5.3,1.45,20,3.86,2.4,22
knee,4.7,1.49,20,4.25,2.27,20
kneecap,4.55,1.47,20,3.74,2.1,19
kneel,4.0,1.76,19,3.18,2.04,22
knick,5.0,1.41,18,3.45,2.24,20
knickers,5.74,1.71,23,3.7,2.83,20
knife,4.33,1.98,21,4.86,2.48,21
knighthood,6.2,1.67,20,4.86,2.1,22
knit,5.85,1.6,20,3.35,2.25,20
knob,5.21,1.36,19,3.05,1.75,21
knock,5.44,1.54,18,3.95,2.24,20
knockoff,3.55,1.68,22,4.22,2.37,23
knockout,4.95,2.48,19,5.91,2.91,22
knoll,5.09,1.06,22,3.68,2.06,22
knot,4.57,1.03,21,3.84,2.3,43
know,6.82,1.44,22,3.24,2.02,21
knowledge,7.28,1.67,39,4.86,2.65,42
knowledgeable,7.95,1.12,21,4.65,2.21,20
knuckle,4.68,1.97,19,4.32,2.5,22
knucklehead,3.79,1.87,19,4.82,2.22,22
koala,6.65,1.42,20,3.73,1.75,22
kook,4.5,1.37,22,3.38,2.58,26
kooky,6.42,1.22,19,5.67,1.91,21
kool-aid,6.6,2.01,20,4.09,2.74,22
kosher,4.68,1.34,19,3.06,1.83,18
kraut,4.72,1.93,18,3.55,2.39,20
kryptonite,5.21,2.04,19,5.86,2.29,21
kudos,6.95,1.17,22,4.27,1.98,22
kumquat,6.1,1.48,20,2.75,1.92,20
lab,4.57,1.5,21,4.35,2.25,20
label,4.79,1.23,19,3.38,1.6,21
labor,4.74,1.97,19,5.23,2.45,22
laboratory,5.14,1.61,22,4.38,2.4,21
laborer,4.71,2.03,21,4.08,2.1,26
labyrinth,4.84,2.17,19,4.24,2.36,21
lace,6.58,2.12,19,3.75,2.69,20
laceration,3.43,1.5,21,6.67,1.71,21
lack,3.68,1.38,19,2.24,1.18,21
lackey,4.32,1.77,19,4.0,2.43,21
lacquer,4.95,1.36,21,3.3,2.29,23
lacrosse,5.29,1.21,17,3.7,2.72,20
lactose,4.44,1.78,25,3.44,2.38,25
lad,6.19,1.57,21,3.6,2.56,20
ladder,5.32,1.49,19,4.09,2.31,23
laddie,5.5,1.3,22,4.32,1.83,19
ladle,5.11,1.7,19,2.82,2.04,22
lady,6.91,1.31,22,4.05,2.04,21
lady bug,7.0,1.45,20,3.38,2.6,21
ladybug,6.9,1.55,20,3.45,1.9,20
ladylike,5.68,2.43,19,3.77,2.45,22
ladyship,6.24,1.79,21,3.45,2.34,22
lag,3.9,1.18,21,4.0,2.67,26
lager,5.4,2.09,20,3.11,2.27,18
lagoon,6.23,1.69,22,3.56,2.36,18
lair,5.0,2.13,20,5.35,2.5,20
lake,7.13,1.34,39,2.64,2.08,44
lamb,6.3,1.51,40,3.32,2.44,22
lame,3.2,1.15,20,2.74,1.66,19
lament,4.16,1.3,19,3.33,1.81,18
lamp,5.74,1.12,39,2.71,1.8,42
lamppost,5.29,1.65,21,2.76,2.05,21
lance,4.7,1.56,20,3.6,2.72,20
lancer,4.58,1.8,19,3.25,1.92,20
land,6.61,1.82,18,3.05,2.16,21
landfall,4.95,1.9,19,3.45,2.13,22
landfill,3.14,1.71,21,3.65,2.06,20
landing,5.09,1.34,22,3.62,2.3,26
landlady,4.1,1.7,21,4.9,2.57,20
landlord,3.5,1.7,20,3.95,1.75,21
landmark,6.0,1.62,20,4.15,2.3,20
landscape,7.0,1.58,21,3.75,2.94,20
landscaping,6.58,1.71,19,4.0,2.41,20
landslide,4.76,2.07,21,5.89,2.45,18
lane,5.29,1.98,21,3.95,2.26,20
language,6.38,1.6,21,3.7,2.11,20
lanky,5.71,1.59,21,4.32,2.14,19
lantern,5.37,1.86,19,3.21,1.8,42
lap,5.89,1.79,19,3.45,2.4,22
lapdog,6.45,2.24,20,3.2,2.35,20
lapel,5.74,1.66,19,3.17,2.23,23
lapse,4.35,1.53,20,3.11,2.37,18
laptop,6.95,1.56,21,4.62,2.81,24
larceny,3.1,1.59,20,5.44,2.73,18
lard,3.55,1.61,20,2.95,2.26,20
large,5.77,1.9,22,5.35,2.41,20
lark,5.19,1.36,21,3.52,2.11,23
laryngitis,3.14,1.35,21,3.56,2.18,18
larynx,4.45,1.06,22,4.0,2.2,23
lasagna,7.1,1.41,20,5.04,2.58,24
laser,5.64,1.68,22,5.09,2.51,22
lash,4.63,2.03,19,4.65,2.46,20
lass,5.42,1.71,19,4.24,1.95,21
lasso,5.33,1.28,21,4.67,2.03,21
lasting,6.67,1.85,21,3.33,1.96,21
latch,5.0,1.76,19,3.09,1.74,22
late,3.32,1.17,22,5.57,2.56,21
latent,4.48,1.03,21,3.04,2.37,24
lateral,5.43,1.47,21,4.11,2.62,19
latex,3.95,2.04,20,3.72,2.8,18
lather,5.57,1.57,21,4.39,2.92,23
latitude,4.82,1.56,22,3.74,2.3,23
latrine,4.0,2.03,20,3.82,2.3,22
latte,6.45,1.43,20,4.79,2.6,24
laugh,7.56,2.64,18,6.62,1.91,21
laughable,6.21,1.96,19,5.6,2.3,20
laughingstock,3.77,2.33,22,5.16,2.34,19
laughter,8.05,1.57,103,5.39,2.88,105
launch,6.4,1.88,20,5.26,2.16,23
launcher,5.38,1.77,21,4.39,2.69,23
launder,5.15,1.18,20,3.57,2.04,21
laundering,5.3,2.2,20,3.71,2.67,21
laundry,5.15,1.46,20,4.5,2.36,24
lava,4.33,2.27,21,5.26,2.54,23
lavatory,5.18,1.33,22,4.21,1.96,19
lavender,6.9,1.74,20,3.81,2.4,21
lavish,6.79,1.66,43,4.88,2.39,41
law,4.55,1.95,22,3.55,2.39,20
lawful,6.26,1.24,19,3.7,2.3,20
lawless,3.1,1.97,21,4.17,3.1,23
lawlessness,2.61,1.38,18,4.73,2.64,22
lawman,4.79,1.99,19,4.14,2.25,22
lawn,6.05,1.84,19,2.62,1.63,21
lawnmower,5.48,1.63,21,2.92,2.25,25
lawsuit,2.84,1.46,19,5.39,2.54,41
lawyer,3.94,2.21,18,3.95,2.67,20
lax,4.43,1.08,21,3.12,2.2,26
laxative,3.1,1.97,21,4.14,2.01,21
lay,6.18,1.62,22,3.7,2.9,20
layaway,5.29,1.1,21,3.9,2.53,21
layer,5.2,1.2,20,3.45,2.32,22
layman,5.1,1.68,20,3.48,2.45,25
layout,4.95,1.63,21,3.52,1.75,23
layover,3.37,1.64,19,4.1,2.3,21
laziness,3.9,2.28,21,2.76,2.23,21
lazy,3.05,1.9,19,3.05,2.3,22
lead,5.56,1.76,18,3.95,2.37,20
leaded,4.52,1.4,21,3.52,2.04,23
leader,6.24,1.96,42,4.96,2.45,47
leadership,6.0,2.0,20,4.76,2.41,21
leaf,6.16,1.98,19,3.05,2.3,22
leafy,5.95,1.32,20,3.57,1.78,21
league,5.35,1.84,20,4.25,1.92,20
leak,4.0,1.29,19,5.43,2.18,21
leakage,3.52,1.66,21,5.23,1.97,22
leaky,3.95,1.65,22,4.33,2.33,21
lean,6.35,1.79,20,3.32,2.04,25
leap,4.8,1.54,20,4.0,2.49,23
learn,6.85,1.81,20,4.8,2.64,44
learner,6.4,1.98,20,4.23,2.45,22
lease,4.75,1.25,20,3.23,1.72,22
leash,5.25,2.07,20,3.0,2.02,21
leather,5.84,1.61,19,3.57,2.46,21
leave,4.68,1.64,22,4.48,2.11,21
lecherous,3.33,1.58,24,3.79,2.23,24
lecture,4.0,2.21,21,3.16,2.36,19
lecturer,4.42,1.39,19,3.48,2.19,23
ledge,5.24,1.41,21,4.95,2.17,22
ledger,5.33,1.28,18,3.24,1.7,21
leech,2.43,1.83,21,4.09,2.72,22
leeway,5.26,1.59,19,3.88,2.11,24
leftover,4.59,1.97,22,4.27,2.25,26
leftovers,5.29,2.15,21,3.4,2.22,25
lefty,5.7,2.13,20,3.33,2.65,21
leg,6.22,1.63,18,2.75,2.29,20
legacy,7.38,1.53,21,4.75,2.45,24
legal,5.24,1.92,21,3.35,2.28,20
legend,6.86,1.76,42,5.13,2.12,23
legendary,6.86,1.93,22,6.61,2.59,18
legion,5.32,1.86,19,4.18,2.65,22
legislation,3.55,1.93,20,4.09,2.64,22
legislature,3.55,1.57,20,3.22,2.18,18
legit,6.85,1.84,20,4.8,2.14,20
legitimacy,5.55,2.01,20,4.09,1.97,22
legitimate,5.7,1.89,23,3.94,2.8,18
lego,6.14,1.85,21,5.05,2.33,20
legwork,4.86,1.15,21,3.5,1.92,22
leisure,7.4,1.43,20,4.48,2.69,25
leisurely,6.92,1.31,39,3.6,2.12,47
lemon,6.37,1.46,19,4.52,1.99,21
lemonade,7.05,1.62,22,4.63,2.54,19
lend,4.95,1.72,19,3.22,1.77,18
length,5.21,1.36,19,3.41,2.13,22
lengthy,4.4,2.09,20,3.39,1.99,23
leniency,5.8,1.58,20,3.78,1.52,18
lenient,5.52,1.57,21,3.61,2.41,23
lens,5.42,2.04,19,2.95,1.53,22
leopard,6.43,1.8,21,6.26,2.13,19
leotard,5.1,1.21,20,3.95,2.04,20
leper,3.3,1.87,20,4.24,2.81,21
leprechaun,6.0,2.2,22,5.11,2.56,19
leprosy,2.25,1.37,40,4.38,2.43,47
lesbian,5.76,2.24,42,6.04,2.53,23
lesion,2.95,1.47,19,5.62,2.31,21
lessen,4.5,1.93,20,4.08,1.95,24
lesson,5.57,1.83,21,3.8,2.12,20
let,5.95,1.76,22,2.71,1.71,21
lethal,2.48,1.47,21,5.64,2.63,22
letter,5.68,1.57,19,3.19,1.97,21
letterhead,4.68,1.34,19,3.27,2.0,22
lettering,5.14,1.39,21,3.12,2.15,25
lettuce,5.84,1.86,19,3.64,2.66,22
leukemia,1.47,1.39,19,5.75,2.38,20
levee,5.09,1.51,22,4.26,2.05,19
level,5.72,1.67,18,2.15,1.63,20
lever,4.5,1.76,20,2.56,1.82,18
leverage,4.9,1.55,21,4.08,2.5,24
levitate,5.4,1.85,20,6.1,2.61,20
lewd,3.58,1.5,19,4.41,2.34,22
liability,3.45,2.04,22,4.58,2.04,19
