Word,Word type,new AoA,Frequency
sound,N,256,2.1825
soup,N,232,1.3059
south,N,370,1.6442
south africa,N,516,-1.5539
south america,N,538,-1.5539
south korea,N,633,-1.5539
sow,N,415,0.7014
space,N,387,2.1286
spain,N,499,1.4937
sparrow,N,308,0.6448
speak,V,260,2.5703
speaker,N,420,1.4435
special,A,361,2.2736
specify,V,544,0.985
speech therapist,N,628,-1.5539
speed,N,372,1.9049
spell,N,305,1.2709
spend,V,310,2.4492
spider,N,254,0.8475
spill,V,249,1.255
spiritualist,N,631,-0.0506
spit,V,288,1.1801
spiteful,A,392,0.3034
spitefulness,N,458,-0.6576
splash,V,239,1.0026
split,V,355,1.5246
splutter,V,402,0.3598
spoil,V,323,1.4648
spray,V,383,1.0024
spraypainter,N,607,-1.5539
sprint,V,454,0.4373
spy,V,396,0.692
squirrel,N,353,0.7885
sri lanka,N,631,-1.5539
stack,V,409,1.0438
staff,N,445,2.0804
stag,N,460,0.7427
stair,N,245,0.5667
stamp,V,269,1.2214
starling,N,370,0.179
start,N,353,1.6796
start,V,290,2.6552
state,N,467,2.5101
state,V,478,1.7033
stature,N,536,0.7642
stay,V,311,2.3991
steadiness,N,465,-0.1367
steal,V,327,1.7207
step,N,245,2.0122
step,V,275,1.76
stepdaughter,N,482,-0.1079
stepmother,N,465,0.0899
stepsister,N,465,-1.2218
stew,V,390,0.6164
stewardess,N,579,0.7202
stiffen,V,469,0.7723
still,F,310,2.9414
stir,V,299,1.6134
stood,V,297,2.6702
stop,V,243,2.522
store,V,394,1.4883
story,N,193,2.3589
straight,A,301,1.6995
street,N,247,2.5077
stress,N,538,1.4991
stretch,V,387,1.8296
strict,A,383,1.3631
strike,V,432,2.048
stroke,N,538,1.3975
stroke,V,308,1.2735
strong,A,280,2.3266
stronger,A,333,2.3266
struggle,V,379,1.6404
study,V,449,2.07
stuff,N,372,1.8116
stupid,A,339,1.579
stupidity,N,452,0.9143
stutter,N,423,-0.301
stutter,V,423,0.3385
style,N,482,2.0204
subdue,V,568,0.5024
submit,V,546,1.3775
subtle,A,588,1.3755
subtract,V,348,0.6042
succeed,V,440,1.8216
such,F,350,2.9745
suck,V,216,1.5553
sudan,N,612,0.5798
sudden,A,368,1.7207
suddenly,ADV,370,2.2743
suffocate,V,465,0.6916
suffrage,N,632,0.4004
suggest,V,436,2.3608
suit,N,368,1.7189
suit,V,443,1.6714
suitable,A,445,1.6245
sulk,V,333,0.5922
sunbathe,V,410,0.2253
support,N,443,2.1268
support,V,458,2.0723
suppose,V,425,2.3568
sure,A,328,2.4215
surgeon,N,520,1.0569
surveyor,N,590,0.3385
survive,V,496,1.9521
swallow,N,388,0.5106
swallow,V,284,1.5209
swam,V,324,1.6699
swan,N,295,0.8745
swear,V,403,1.5076
sweat,V,399,1.2228
sweden,N,538,1.3481
sweep,V,288,1.7086
sweeper,N,339,0.0682
sweet,N,172,1.1274
sweeten,V,346,0.4378
swell,V,396,1.1785
swim,N,275,0.9646
swimming,N,291,0.7806
swing,V,237,1.7476
switch,V,390,1.6393
switzerland,N,529,-1.5539
sympathise,V,542,0.699
table,N,185,2.3712
tablet,N,368,1.0611
taiwan,N,630,0.525
take,V,277,3.2827
tale,N,266,1.5045
talk,V,216,2.7081
tall,A,266,1.8684
tan,N,425,0.5391
tanganyika,N,639,-1.5539
tangerine,N,401,-0.7757
tanzania,N,641,0.42
taoism,N,652,-0.9586
tap,V,350,0.9725
tap dance,V,381,-1.5539
tardiness,N,595,-1.2218
tardy,A,589,-0.1079
taste,N,280,1.7587
taste,V,269,1.3514
tasteful,A,458,-0.1367
tax,N,546,2.1156
tax,V,557,0.7384
tax inspector,N,595,-1.5539
taxi,N,443,1.5281
taxi driver,N,458,-1.5539
teach,V,304,2.155
teaching,N,333,1.8371
tear,V,305,1.7889
tear (rhyme with beer),N,238,1.7753
tear (rhyme with bear),N,304,0.1621
telephone,V,414,1.3094
telephonist,N,535,-0.6576
television,N,476,2.0574
tell,V,255,3.0268
temperature,N,399,1.7777
temporarily,ADV,516,1.2125
ten,NUM,253,2.355
tenant,N,507,1.4907
tend,V,498,2.1156
tenet,N,632,0.3802
terrible,A,366,1.8905
test,N,341,1.9817
test,V,366,1.7357
thailand,N,628,-1.5539
thank,V,291,2.0616
thankful,A,379,0.616
that,F,248,3.6641
thatch,V,467,0.6866
thaw,V,414,0.4795
the,F,203,4.7772
the yemen,N,650,-1.5539
their,F,295,3.4625
theirs,F,302,1.2287
them,F,266,3.3714
theme,N,504,1.5647
themselves,F,383,2.5246
then,F,271,3.2754
thence,F,514,0.5922
theology,N,620,0.9345
therapist,N,628,0.8904
there,F,245,3.5263
therefore,F,420,2.3036
these,F,260,3.1031
they,F,232,3.6937
thieving,A,420,-0.2147
thing,N,247,3.0167
think,V,303,3.3019
this,F,228,3.6762
thoroughly,ADV,463,1.4547
those,F,286,2.9463
though,F,383,2.7612
thought,N,372,2.2829
thoughtfulness,N,460,-0.2518
thoughtless,A,454,0.2923
threaten,V,424,1.7993
three,NUM,178,2.8019
threw,V,308,2.2032
thrill,V,415,0.9593
thrilled,A,413,0.9595
thrive,V,504,1.0792
through,F,357,2.9222
thrush,N,368,0.2095
thump,V,350,0.8451
thunder,V,314,0.7765
thus,F,456,2.2549
tibet,N,622,-0.0223
tidy,V,323,0.9403
tierra del fuego,N,639,-1.5539
tiger,N,331,1.0776
tile,V,484,0.4771
time,N,282,3.2955
time,V,388,0.6816
timidity,N,516,0.3711
timpanist,N,622,-1.2218
tinker,N,443,-0.301
tiny,A,258,1.9406
tired,A,223,1.8157
tiredness,N,355,0.3802
tirelessness,N,514,-1.5539
to,F,204,3.8465
toad,N,368,0.628
toast,V,364,0.5601
toboggan,V,396,-0.301
today,F,238,2.3446
together,F,284,2.5637
tolerance,N,531,1.012
tolerate,V,535,1.1703
tomorrow,F,256,1.7818
too,F,310,3.0187
top,N,228,2.237
tortoise,N,331,0.7515
tory,N,600,1.1553
toughen,V,516,0.1271
towards,F,376,2.4192
town,N,310,2.3497
train,V,443,1.772
traindriver,N,340,-1.5539
transform,V,529,1.4564
translate,V,532,1.2986
travel,V,379,1.9781
treasure,N,340,1.1623
treasure,V,432,0.6335
treat,V,374,1.9936
tree,N,213,2.2827
tree surgeon,N,592,-1.5539
trend,N,534,1.5492
trick,N,320,1.4681
trouble,N,318,2.1935
trust,N,409,1.6524
trustworthiness,N,532,-0.3468
trustworthy,A,523,0.2385
truth,N,318,2.1283
truthful,A,351,0.5988
truthfulness,N,409,-0.2147
try,V,269,2.8689
tunisia,N,622,0.316
tunnel,N,325,1.2357
turkey,N,540,0.985
turn,V,288,2.763
turquoise,N,484,-0.1079
tut,V,448,-0.4685
tutor,N,540,1.4108
tv,N,504,1.579
twelve,NUM,301,1.8496
twist,V,338,1.5898
two,NUM,180,3.1372
type,N,460,2.1397
type,V,489,1.2286
typist,N,510,0.5798
ugly,A,308,1.3955
ulster,N,598,0.8506
ulster unionist,N,648,-1.5539
ultimate,A,588,1.447
unbreakable,A,484,-1.5539
uncork,V,514,-0.4089
uncover,V,437,0.8338
under,F,284,2.726
underdevelop,V,600,-1.5539
understand,V,394,2.4648
understanding,N,510,1.7574
unease,N,549,0.7686
unfairness,N,439,0.1931
unfortunately,ADV,454,1.647
unharmonious,A,598,-1.5539
unhealthy,A,467,0.6767
unionist,N,650,-0.1079
united reform,N,644,-1.5539
unkind,A,331,0.6042
unkindness,N,383,-1.5539
unknown,A,396,1.5128
unless,F,357,2.0905
unpunctual,A,519,-1.5539
unpunctuality,N,544,-1.5539
unreliability,N,551,-1.5539
unreliable,A,514,0.6395
unsavoury,A,560,0.1931
until,F,322,2.2398
untrustworthy,A,508,-1.5539
untruthfulness,N,527,-1.5539
up,F,189,2.665
upon,F,260,2.4442
upset,A,290,1.2962
upset,N,383,0.2385
upset,V,329,1.3683
upwards,F,333,1.2962
urdu,N,648,-0.0757
uruguay,N,621,0.0492
us,F,227,2.9437
usa,N,454,2.9886
use,V,323,2.0927
used,A,316,1.3142
usherette,N,476,-0.6576
vacuum,V,439,0.0482
vague,A,493,1.4042
valuation,N,579,0.4378
value,N,467,2.2381
value,V,499,1.0259
vanity,N,501,0.8807
various,A,463,2.1072
vary,V,488,1.7515
vault,V,473,0.5922
venezuela,N,631,0.3802
verbalise,V,628,-0.0518
vermillion,N,588,-0.3248
versify,V,635,-1.2218
very,F,275,3.2066
vet,N,385,0.7846
veto,V,611,0.3599
vicious,A,476,1.0589
view,N,394,2.4148
view,V,471,1.4787
vigorous,A,519,1.0874
vigour,N,536,0.8743
villain,N,417,0.7597
violence,N,441,1.8183
virtuous,A,534,0.6665
visit,V,297,2.0427
vole,N,514,-0.2518
volunteer,V,488,0.8904
vote,N,497,1.7076
vote,V,488,1.7604
wail,V,439,0.9725
wait,V,299,2.5045
waiter,N,417,1.3469
waitress,N,407,1.037
wales,N,415,-1.5539
walk,N,230,1.7317
walkway,N,525,-1.5539
wallaby,N,555,-0.3468
wallpaper,V,387,-0.301
wander,V,374,1.5673
want,N,254,-1.5539
want,V,228,3.0498
war,N,366,2.559
warder,N,532,0.1461
warm,A,234,1.958
warm,V,303,1.3796
warmth,N,323,1.3786
warn,V,374,1.6931
warning,N,372,1.5873
was,V,208,4.5842
wash,V,195,1.968
washing up,N,273,-1.5539
wasp,N,279,0.7767
water,N,180,2.6641
water,V,286,0.9458
wave,V,213,1.6572
waver,V,504,0.7889
way,N,275,3.121
we,F,211,3.559
weak,A,340,1.7737
wealth,N,437,1.7642
wealthier,A,478,1.244
wealthy,A,452,1.244
wear,V,260,2.3845
weasel,N,458,0.2095
weather,N,292,1.8131
weather,V,491,0.6556
weave,V,428,0.567
weeping,A,342,-0.0224
weigh,V,348,1.4779
weightlift,V,568,-1.5539
welcome,V,398,1.5158
welder,N,570,0.0492
well-being,N,510,-1.5539
well,F,288,3.0425
wellmannered,A,452,-1.5539
welsh,A,443,0.2253
welsh nationalist,N,644,-1.5539
went,V,275,3.4617
wesleyan,N,592,-1.5539
west indies,N,581,-1.5539
whale,N,368,1.046
what,F,256,3.4471
whatever,F,385,2.1572
when,F,258,3.3266
whence,F,484,0.6665
whenever,F,404,0.0253
where,F,262,2.8211
whereby,F,504,0.9926
wherefore,F,521,-0.7696
wherever,F,432,1.2082
whether,F,411,2.5237
which,F,301,3.5353
whichever,F,439,0.8299
whig,N,616,0.2095
while,F,336,2.658
whilst,F,439,1.2925
whine,V,390,0.8116
whisk,V,404,0.8338
white,N,241,1.6594
whither,F,499,0.0682
who,F,249,3.3794
whoever,F,404,1.3393
whom,F,454,2.2562
why,F,234,1.3945
wicked,A,318,1.2455
wickedness,N,396,0.6609
wide,A,316,2.0751
wideness,N,448,-1.5539
width,N,398,0.8675
wife,N,314,2.3947
will,N,497,2.1091
will,V,282,3.5873
willingness,N,484,0.9671
wind,N,239,2.0796
window cleaner,N,377,-1.5539
wipe,V,273,1.5719
wise,A,359,1.6063
wish,N,260,1.4174
with,F,247,3.8439
wither,V,467,0.9318
within,F,428,2.4487
without,F,381,2.7651
wolf,N,316,1.0072
wombat,N,572,-0.9586
won,V,286,2.1884
wonder,N,372,1.5719
wonder,V,370,2.2361
wonderful,A,359,1.7675
woodworker,N,491,-1.5539
word,N,267,2.693
work,N,288,2.8445
work,V,308,2.7439
world,N,340,2.8796
worm,N,249,1.2272
worry,N,413,1.3438
worry,V,415,1.9844
worse,F,357,1.748
worsen,V,463,0.5729
worst,A,385,2.5198
would,V,327,3.0131
wound,V,411,1.3945
wreck,N,394,0.9115
wreck,V,415,1.0096
wrestle,V,413,0.8904
wring,V,396,0.8261
writer,N,385,1.8197
wrote,V,338,2.6671
yak,N,572,-0.2518
yawn,V,284,0.8775
yellow,N,256,1.0935
yes,F,169,2.8888
yesterday,F,264,1.7334
yet,F,320,2.4496
yodel,V,473,-0.9586
yonder,F,485,-0.1389
you,F,213,3.8567
young,A,286,2.6892
younger,A,329,2.6892
youngster,N,389,1.3393
your,F,256,3.2084
yours,F,267,1.6642
yourself,F,331,2.134
yourselves,F,350,0.9175
yugoslavia,N,588,0.8506
zaire,N,639,0.3909
zambia,N,637,0.4099
zealous,A,603,0.1089
zebra,N,370,0.2786
zen,N,639,0.3385
zimbabwe,N,641,0.6609
zionism,N,648,0.179
zoology,N,605,0.1461
